text,system_response,emotion
응. 나도 이제 취준생에서 벗어났어.,취준생에서 벗어나서 기쁘시군요.,기쁨
일단 작게나마 목표를 설정하고 하나씩 이뤄보려고 해.,문제가 잘 풀리길 기원할게요.,슬픔
아내와 싸웠는데 내 소득에 불만이 많더라고. 적게 벌고 싶어서 적게 버는 게 아니잖아.,소득 문제로 아내와 싸우셔서 짜증이 나셨군요.,슬픔
일하다가 실수 했는데 팀장이 인신공격을 했어.,좀 더 상황을 자세히 설명해주시겠어요?,분노
심장질환이 있어서 심한 운동은 하지 못하고 산책 정도만 하고 있는 상태야.,좋은 방법이네요. 너무 무리하는 것도 좋지 않아 보이세요.,슬픔
맞아. 딱히 내가 지시 내리지 않아도 알아서 해준다는 게 얼마나 고마운지 몰라.,알아서 잘 해주는 직원들 덕분에 고마움을 느끼시는군요.,기쁨
우선 최대한 침착하게 이성적으로 사실을 전하고 싶어.,이성적으로 사실을 전하고 싶어 하시는군요.,분노
나는 분명 경쟁에서 뒤처지고 말 거야. 왜 열심히 안 했는지 한심해.,어떻게 하면 지금 기분이 나아질 수 있을까요?,분노
일종의 봉사 활동 같은 건데 우리 손주들 등하교하는 모습도 봐줄 수 있어서 기뻐.,봉사 활동을 하면서 손주들도 볼 수 있다니 참 좋으시겠어요.,기쁨
드디어 취업했어. 정말 기분 좋아.,취업에 성공하셨군요. 얼마나 기쁘시겠어요.,기쁨
며칠 안 먹었는데도 효과가 있어서 몸이 가벼워졌어.,효과가 있어서 몸이 아주 가벼워졌나 봐요.,기쁨
의사 선생님 말에 유의하고 몸 관리에 신경을 써야겠어.,의사 선생님의 말대로 몸을 관리하려 하시는군요.,슬픔
돈을 모아둔 게 없어.,저축이 부족하신 모양이네요.,슬픔
더 이상 아프고 싶지 않아.,더 이상 아프고 싶지 않군요.,분노
이제부터라도 능력을 계발해서 다른 직종으로 이직해야겠어.,이직을 통해 상황이 호전되길 바라요.,분노
퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.,천천히라도 직장을 구해 보려고 하시는군요. 특별한 이유가 있으신가요?,기쁨
나이가 들수록 몸이 예전 같지 않아서 답답하고 힘들어.,몸이 전과 같지 않아서 답답하고 힘드시군요.,분노
친구들이 괴롭히는 것이 다 내 탓 같아. 그래서 슬퍼.,친구들이 괴롭히는 게 다 내 탓 같아서 슬프시군요.,슬픔
신랑도 아이는 가만히 있는데 네가 왜 그러냐고 말해. 그래도 조급한 마음이야.,신랑분이 조언해주어도 조급한 마음이 생기시는군요.,분노
정말 바쁜 일상이었는데 떠나서 이렇게 여유롭게 있을 수 있다니 너무나 느긋해.,바쁜 일상 속의 휴식을 여유 있고 즐겁게 보내시길 바라요.,기쁨
석 달 동안 공들인 프로젝트가 성공해서 너무 기쁘네.,고생 끝에 낙이 온다더니 멋진 성과를 이루셨네요.,기쁨
평생 자식들 뒷바라지하느라 나를 챙기지 못했는데 이제 나이 드니 너무 힘드네.,앞으로 이 상태에서 조금 더 나아지려면 어떻게 하면 좋을까요?,분노
너무 큰 선물은 친구가 부담스러울 거 같아서 식사 한 끼 하면서 보답해야겠어.,은퇴 이후에도 즐겁게 생활하시길 바랄게요!,기쁨
친구들이 내가 생각하는 것만큼 나를 생각 안 하는 것 같아서 서운했던 것 같아.,친구분들에게 많이 서운함을 느끼시는군요.,슬픔
허리가 자주 아파서 병원에 갔더니 디스크인 것을 알게 되었어. 몸을 혹사한 내 탓이야.,허리가 아주 아프셔서 힘드시겠어요.,분노
뭘 어떻게 해야 할지 모르겠어.,마음이 답답하겠네요. 지금 이 상황을 변화시키려면 어떤 일들을 할 수 있을까요?,슬픔
집에 돈이 많으면 좋은 교육 환경에서 공부시킬 텐데. 이 문제 때문에 스트레스받아.,자녀에게 좋은 교육 환경을 제공해 주지 못해서 스트레스를 받으시는군요.,슬픔
어떨 때는 아이 키우는 게 너무 버겁고 힘들어서 내가 왜 이 결혼을 했나 싶어.,어떨 때는 아이 키우는 게 너무 버겁고 힘들어서 내가 왜 이 결혼을 했나 싶군요. 이 상황을 변화시키기 위해 무엇을 할 수 있을까요?,분노
젊은 날 더 열심히 건강 좀 챙기면서 살 걸 후회돼.,건강을 챙기지 못한 것을 후회하시는군요. 이 순간에 할 수 있는 일이 있을까요?,슬픔
같은 취미를 공유하는 사람을 만나면 좀 더 대인관계가 쉽겠지?,저도 그 생각에 동의합니다.,분노
효과 있다고 해서 지금까지 먹은 건데 약값도 아깝고 생각할수록 화가 나.,효과 있다고 해서 지금까지 먹은 건데 약값도 아깝고 생각할수록 화가 나는군요. 어떻게 하면 지금 기분이 나아질 수 있을까요?,분노
엄마가 드디어 재혼하신다고 해서 매우 신이나.,모친이 재혼하셔서 기분이 좋으시군요.,기쁨
가장으로 해야 할 역할과 회사에서 내 직책에 맡는 역할 등에 내 나름대로 최선을 다했다고 생각해.,맞아요. 그 노력과 헌신이 있었기에 가족과 사회에서 훌륭한 기여를 하셨어요.,기쁨
오늘도 저녁은 라면으로 때우겠지. 이렇게 되기까지 난 무얼 해 왔던 걸까.,노인층의 가난 일자리 부족 문제가 하루빨리 해결되길 바랄게요.,슬픔
앞으론 더 자주 연락하고 지내야겠어.,더 자주 연락해서 마음은 멀어지지 않으려고 하시는군요.,슬픔
소극적이고 나이 먹어서 친구 사귀기가 쉽지 않아.,소극적이고 친구 사귀는 것이 쉽지 않다 생각하시는군요. 한 번 용기 내 적극적으로 변해보실 생각은 없으신지요.,슬픔
인간은 결국 혼자인 거 같아.,혼자라는 기분이 드셨나 봐요. 무슨 일이 있었나요?,슬픔
계속 떨어지는 게 슬프지만 원인을 찾아내서 다시 일어나서 도전해봐야지.,다음 도전에는 꼭 성공하시길 바라요.,슬픔
부모님이 나한테 너무 무관심하셔서 고민이야.,부모님의 무관심 때문에 고민  중이시군요.,분노
은퇴를 걱정했는데 다행이야. 우리 가족들이 열심히 일한 덕에 살림살이도 나쁘지 않아.,가족들 덕분에 걱정한 것 만큼 노후생활이 나쁘지 않을 것 같아 다행이에요.,기쁨
이젠 고정 수입도 없어서 어떻게 살아야 할지 모르겠어.,앞으로 어떻게 하는 것이 좋을까요?,분노
내가 입원하자마자 아내랑 자식이 바로 달려와서 참 감사했어.,많이 놀라셨을 텐데 가족들이 바로 와줘서 고마우셨겠어요.,기쁨
학교도 가기 싫고 아무것도 하기 싫어. 날 왜 그렇게 괴롭히는 건지 모르겠어.,이유도 모르게 학교 친구들에게 괴롭힘을 당해 의욕이 떨어지셨군요.,슬픔
나 역시도 그들을 신뢰하고 믿음을 주는 사람이 되고 싶어.,어떻게 하면 그런 사람이 될 수 있을까요?,기쁨
옛날에는 경찰에 신고해도 수사를 안 했는데 이제는 수사를 한대.,진짜 좋은 정책이에요.,기쁨
머리로는 더 일할 수 있는데 몸이 따라주질 않아. 쓸모없는 인간이 된 거 같아.,이렇게 기분이 슬플 때 어떻게 극복할 수 있을까요?,슬픔
같이 은퇴한 동료들을 만나서 앞으로의 계획을 같이 이야기해 봐야겠어.,같은 입장의 동료들과 이야기해서 답을 찾기를 바라요.,슬픔
나는 아내 보다 못생겨서 날 닮았으면 딸도 싫어했을 거야. 이대로 예쁘게 컸으면 좋겠어.,딸이 예쁘게 크길 바라요.,기쁨
응. 그래서 맞춤법 공부를 좀 해보려고.,맞춤법 공부를 하신다니 멋진 생각이네요.,기쁨
엄마가 자꾸 방 청소를 하라길래 그만 짜증이 나서 화를 내버렸어.,홧김에 화를 낸 것에 많이 죄송스러우시겠어요.,슬픔
돈 없는 사람이 몸까지 자꾸 나빠지니 집이 스위트 홈도 그냥 집도 아닌 감옥일세.,집이 불편하게 여겨지시나 봐요? 돈이랑 건강 중 뭐가 더 신경 쓰이시는데요?,분노
나도 같이 준비했던 시험이었거든. 같이 붙었으면 좋았을 텐데 난 떨어져서 슬퍼.,함께 준비했지만 친구만 성공하여 많이 낙담했겠어요. 당연한 감정이에요.,슬픔
내가 아이들을 믿어주듯 아이들도 자기 스스로를 믿는 사람이 된다면 좋겠어.,아이들이 그러한 사람이 되려면 어떻게 해야 할까요?,기쁨
계속 실수가 반복되니 자신감이 떨어지고 나 자신이 바보 같이 느껴져.,실수 때문에 자신감이 떨어져서 자책하고 계시는군요.  앞으로 어떻게 하는 것이 좋을까요?,분노
얼마나 인수인계를 제대로 안 해줬는지 뒤엎고 싶은 기분이야.,지금 상황을 해결하기 위해 할 수 있는 일은 무엇이 있을까요?,분노
다들 영어를 많이 쓰는데 나는 하나도 못 알아듣겠어. 나만 바보 같아서 속상해.,영어로 하는 말을 못 알아들어서 속상하시군요.,분노
시험을 볼 때마다 성적이 자꾸 떨어져. 성적이 오르지 않아서 슬퍼.,시험을 볼 때마다 성적이 낮아지는군요. 성적이 오르지 않아 슬프시겠어요.,슬픔
부장님의 말만 믿고 이미 자료조사와 부서간 협업까지 마쳐서 난감한 상황이야.,난감한 상황을 개선하기 위해 어떤 방법이 있을까요?,슬픔
지금까지 누구를 위해 일했던 건데. 버림받은 기분이야.,버림받은 기분이 드시는군요. 실망감이 약간이라도 나아질 수 있는 방법이 있을까요?,슬픔
몸이 불편해서 업무 보기가 힘들어. 스트레스받아.,불편한 몸 때문에 업무에 지장이 가서 스트레스를 받으시는군요.,분노
더 기분 좋은 건 친구들이 내가 갖고 싶었던 선물을 사줬어. 비싸서 못 사고 고민하고 있던 건데. 그래서 너무 기분이 좋아.,친구들이 가지고 싶은 선물을 주셔서 많이 기쁘신 것 같아요. 친구들에게 기쁜 마음을 어떻게 전하면 좋을까요?,기쁨
이전엔 듣기 평가 중간 중간에 자꾸 딴 생각이 들었는데 오늘은 영어 듣기만 생각했어.,다음 듣기 평가에도 오늘처럼 끝까지 집중하셔서 좋은 점수를 받으시길 바라요.,기쁨
합격하지는 못했지만 열심히 했다는 것 자체에 의미를 두어야겠어.,합격에 의미를 두지 말고 노력에 의미를 둬서 마음이 나아지길 바라요.,슬픔
천식 때문에 공부에 집중이 안 돼서 이번에 성적이 떨어졌어. 너무 슬퍼.,비염 때문에 성적이 떨어져 아주 슬프시겠어요.,슬픔
정말 화가 났어. 자기가 내 성적을 보고 웃을 레벨이 아닌데 말이야.,지금 이 기분에서 벗어나기 위해서 어떤 것을 하면 좋을까요?,분노
요즘에 느끼는 감정에 너무 괴롭네.,괴로움이 있으시군요. 설명해 주시겠어요?,분노
앞으로 이직한 곳에서 어떻게 열심히 일할지 고민 중이야.,어떻게 열심히 일할지 생각 중이시군요. 어떠한 방법이 있을까요?,기쁨
별일도 아닌데 짜증을 내니 나도 짜증이 나더라고.,남편 짜증 때문에 화가 나는군요.,분노
어떻게 그럴 수가 있지? 내 앞에서는 그렇게 친한 척하더니.,앞뒤가 다른 모습에 더 화가 나셨군요.,분노
직원들에게 기한보다 앞당겨 일처리를 요구할 정도로 마음이 급해.,마음이 급해서 직원들에게 기한보다 빠른 일처리를 요구하셨군요.,분노
심리적으로 많이 불안하다고 하셨는데 내 도움 때문에 많이 편안해지셨대.,도와드릴 수 있어서 많이 뿌듯하셨겠어요.,기쁨
따끔하게 혼을 내야겠어.,사용자님의 방식으로 앞으로는 이런 일이 일어나지 않기를 바라요.,분노
나를 위해 배려하고 마음을 많이 써주니 얼마나 고맙고 기쁜지 몰라. 어떻게 보답을 해줄까?,어떻게 보답을 해주는 것이 가장 좋은 방법일까요?,기쁨
아줌마들 다들 무릎이 안 좋던데 난 좋아서 다행이야.,체력이 좋으신 것 같아요. 건강하셔서 정말 다행이에요.,기쁨
항상 짜증만 나네.,혹시 어떤 문제로 마음이 상하셨나요?,분노
느낌이 와. 오늘따라 유달리 떨렸어. 그리고 취업 면접을 이렇게 방어적인 태도로 임하면 안 되는 거였어. 속상해.,취업 면접에서 잘하지 못한 것 같아 속상하시군요. 조만간 좋은 소식 알려주실 거라고 믿어요.,분노
애들이 나를 불편해하는 모습에 속상해. 가족보다 돈만 좇은 삶이 후회가 돼.,어떻게 하면 불편함을 없앨 수 있을까요?,분노
인생에서 계속되던 경쟁 때문에 우울증에 걸렸어. 왜 나한테만 이런 일이 일어나는 걸까?,우울증으로 매우 힘든 일상을 보내고 계시겠어요.,슬픔
돈도 돈인데 나를 생각하는 아이들 마음이 참 예뻐. 뭔가를 해주고 싶어.,자식들에게 고마운 마음이 크시군요.,기쁨
회사에서 나를 참 신뢰하는 것 같아. 그건 기분이 좋아.,회사에서 신뢰받는 것 같아 기분이 좋으시겠어요. 어떤 비결이 있으신가요?,기쁨
관심 있는 취미가 비슷한 것 같아. 다음에 같이 하자고 해봐야겠어.,이웃과 즐거운 시간 보내시길 바라요.,기쁨
누나가 동생을 봐줄 수도 있는 건데 나만 시켜서 짜증나.,이 문제를 어떻게 해결해 가면 좋을까요?,분노
김 씨에게 비타민을 찾으러 가야겠어.,두뇌운동으로 치매를 예방할 수 있길 바라요.,슬픔
엄마가 자꾸 초라한 옷을 입고 오는 것이 싫어. 친구들보다 가난해 보이는 것 같아.,조금 더 자세히 말씀해 주시겠어요?,슬픔
내 능력이 이것 밖에 안 된다고 생각이 들어서 너무나도 한심해.,한심하다는 생각이 들 때 가장 자신 있게 해 볼 수 있는 일이 뭐가 있을까요?,분노
동네 약국이 항상 믿음을 주어 나도 감사의 뜻으로 보답하고 싶어.,동네 약국에게 느끼는 고마움을 어떻게 표현하는 것이 가장 좋은 방법일까요?,기쁨
나이가 많다고 일을 못 하는 건 아니란 걸 보여줘야지.,네. 꼭 갚으시면 좋겠어요.,분노
십년지기 친구랑 싸웠어. 이번에 축의금 문제가 있었거든.,어떤 일이 있었는지 자세히 말씀해 주실 수 있나요?,분노
나도 지출이 큰 건 아는데 그래도 삶의 낙인데 이해를 못해주니 아내한테 섭섭해.,아내 분이 이해해주시려면 어떻게 해야 할까요?,슬픔
결혼을 한 친구들과 하나 둘씩 멀어지게 됐어.,결혼으로 친구들과 멀어져서 서운하겠어요.,슬픔
대장암 수술 경과가 잘 나왔어. 너무 다행이야.,정말 다행이네요. 큰 수술을 겪으셨는데 기분이 어떤가요?,기쁨
나한테 항상 대들고 말도 안 통해서 너무 답답하고 짜증 나. 어떡하면 좋지?,항상 대들고 말도 안 통해서 너무 답답하고 짜증이 나시는군요.,분노
아내 간병도 하면서 일할 수 있는 자리를 찾아서 만족스러워.,간병을 하며 할 수 있는 일자리를 찾으셨군요.,기쁨
맞아. 보편적으로 여자들이 희생해야 하는 부분이 많은 게 너무 부당하다고 생각해!,한쪽만 희생하는 건 부당하죠.,슬픔
위암으로 죽을 뻔한 친구가 건강하게 우리 집에 찾아왔어.,친구가 건강하게 집에 찾아오셨군요.,기쁨
영상 통화라도 보여 달라고 해야겠어.,손주분과 오붓한 영상 통화가 되었으면 좋겠어요.,분노
맞아. 다른 사람에 비하면 신장 기증자가 빨리 나타나서 치료가 더 빨라지는 거지!,그러면 완쾌할 확률도 높아지고 얼른 건강이 회복되겠네요!,기쁨
아쉽기도 하고 내가 너무 나만 보고 살아왔다는 생각을 지울 수 없네.,자신을 성찰하게 되셨군요.,분노
직장 동료들의 아부로 구역질이 나.,직장 동료들의 언행으로 다소 불편한 마음이 있으시군요.,분노
끝까지 힘이 되어줘서 정말 고마워.,제가 도움이 되었다니 정말 기쁘네요! 정말 축하합니다.,기쁨
나를 잘 모르는 얘들도 나한테 욕을 해.,잘 모르는 애들이 욕을 한다니 화나시겠어요.,분노
응. 여태 어떻게해야할지 몰라 힘들었는데 그 친구 덕분에 의기가 생기는 거 같아. 이제 나도 정정당당 맞서 보려구.,용기를 가지시고 정정당당 맞서서 문제를 해결하려고 하시는군요.,기쁨
남편이 고혈압으로 쓰러져서 응급실에 왔는데 간호사가 신경을 안 써서 화가 나.,쓰러졌는데 신경을 안 써주니 답답하시겠어요.,분노
어떻게 우리 세대는 이렇게도 막막할 수 있을까? 취직 준비하는 과정이 매우 힘들고 화가나.,맞아요 저도 이런 상황이 안타깝다고 생각해요.,슬픔
학업스트레스를 친구들과 같이 푸는 기분도 느끼고 재밌어.,앞으로도 친구들과 지금처럼 잘 지내시길 바라요.,기쁨
아들에게 고맙다고 진심으로 얘기하고 지금보다도 더 잘해줄래.,아드님에게 고마움을 전하려고 하시는군요.,기쁨
요새 가족 관계가 만족스러워.,만족스러우시군요. 그렇게 생각하시는 이유가 있나요?,기쁨
친구들과 카페에서 공부하는데 계속 부모님께 연락이 와. 이럴 때마다 지쳐.,부모님의 잦은 연락으로 많이 힘드시겠어요.,슬픔
블라인드 레스토랑으로 유명한 곳이 있어서 한번 가보려고.,좋은 생각이네요. 재미있는 데이트 되세요.,기쁨
다음부터는 할머니가 차려준 아침을 먹도록 노력해야겠어.,지금의 다짐으로 앞으로는 후회하지 않았으면 좋겠네요.,슬픔
엄마는 내가 기분이 좋지 않은 것 같으면 내가 좋아하는 음식으로 나를 풀어줘.,어머니가 감정을 잘 알아차려 주셔서 좋지 않았던 기분이 풀어졌군요.,기쁨
정말 안심이 돼. 난 운이 좋아.,일이 미뤄져 안심이 되시는군요.,기쁨
이런 편안한 학교생활을 언제 해봤는지 모르겠어.,편안 생활을 할 수 있도록 만들어준 친구들에게 어떤 감사의 보답을 할 수 있을까요?,기쁨
육십 년 일생을 열심히 살아왔다고 생각했는데 결과가 이렇다니 너무 서럽기도 해.,지금의 기분에서 벗어나기 위해 무언가 할 수 있는 방법이 있을까요?,슬픔
당장 주변 사람들에게 선을 부탁해야겠어.,꼭 좋은 인연을 만났으면 좋겠어요.,분노
후회되는 삶을 살았다고 생각되네.,어떤 점에서 그러신가요?,슬픔
내가 이런 대접 받으려고 열심히 일했나 자괴감이 들어.,회사에서 열심히 일했는데 마음고생이 있으시겠어요.,분노
최대한 회사 매뉴얼을 보고 실행해보고 어려운 부분만 여쭤봐야겠어.,최대한 스스로 해결해보려 하시는군요.,기쁨
이번 달도 적자야! 카드 값을 갚으려면 휴가 보너스가 빨리 나와야 할 텐데.,카드 값 때문에 보너스를 기다리고 계시는군요.,분노
아들은 항상 부모에게 잘했거든 아마 앞으로도 그럴 거라고 생각해.,아들이 부모에게 잘해서 기분이 좋으시겠어요. 이 마음을 어떻게 표현하면 좋을까요?,기쁨
직장 내 게시판에 익명의 제보자가 나에 대해서 아주 안 좋은 소문을 퍼트렸어.,아주 안 좋은 일이 있으셨군요.,분노
올해는 승진할 줄 알았는데 이번에도 못하게 됐어.,승진을 못하게 되어 속상하신 것처럼 들려요.,슬픔
감정이 북받쳐 올라서 아들과 당분간 얘기를 하지 않으려고 해.,부자간의 관계가 잘 해결되어 마음이 편해지시기를 바라요.,분노
나는 이과 쪽이 적합할 거라고 생각했는데 잘못된 생각이었나봐.,그렇군요. 어찌하면 좋죠?,슬픔
은퇴하면 책을 하나 쓸 거야.,멋진 일이네요. 어떤 내용을 쓰고 싶으세요?,기쁨
어차피 직장일 뿐인데 그런 거로 사람을 판단하는 게 기분이 나쁘고 앞으로 어떻게 관계를 맺어야 할지도 모르겠어.,속상하셨겠어요. 친구들에게 감정을 말씀해보셨나요?,분노
다음번 공모전은 시간 여유가 있으니 조금 더 집중해보려고 해.,친구와 하고 싶은 이야기를 나누려고 하시는군요.,기쁨
요즘 슬럼프에 빠졌었는데 친구들이 많이 응원해줘서 감사함을 느껴.,친구들의 지지를 감사하게 생각하시는군요.,기쁨
맞아. 내일은 차분하게 이야기를 해야겠어.,여자친구분과 차분하게 대화를 하려고 하시는군요.,분노
직장 생활을 하면서 요즘처럼 즐거웠던 적은 없는 것 같아.,정말 좋으시겠어요. 어떤 즐거운 일이 있으셨나요?,기쁨
내 건강은 내가 알아서 얼마나 잘 챙기는데.,스스로 건강을 챙기는데 자꾸 잔소리하시는 게 싫으신 거군요.,분노
결혼한 딸도 행복하게 살고. 난 요즘 하루하루가 감사해.,하루하루 감사한 마음을 품고 살아계신 것 같아 보기 좋으세요.,기쁨
내가 잘못한 거 같아 괴로워.,어떤 것을 잘 못 하신 거 같으신가요?,분노
학교 선생님께 얘기드리고 상담 받을 거야.,네 잘 생각하셨네요. 일이 잘 되시길 빌어요.,분노
난 다른 친구들보다 공부는 잘했는데 막상 진로를 정하려니 쉽지가 않네 다른 친구들은 다 목표가 있는것 같은데 나만 이러고 있으니 한심스럽네.,다른 친구들과 다르게 혼자만 목표를 정하지 못해서 답답하군요.,분노
시험을 어렵게 합격하면 뭐해. 아무리 노력해도 애들은 내 말을 안 듣는데.,학생들이 말을 듣지 않아 더 힘드시군요. 상황을 바꿀 방법이 있을까요?,분노
지금까지 본 시험들 모두 일 등급이여서 이번 시험도 일 등급 나올 것 같아. 너무 좋아.,점수가 일 등급이 나올 것 같아 기분이 좋으시군요.,기쁨
맞아 요즘 계속 속이 울렁거려서 어디 아픈 거 아닐까 걱정이 됐는데 이상 없다고 하니까 감사하지. 앞으로 건강 더 챙겨야겠어.,앞으로도 건강을 더 챙길 생각이시군요.,기쁨
글쎄. 나는 말로는 표현을 잘 못해서 작은 카드에 글을 써서 고마움을 표현할 수 있을 것 같아.,지금은 아무 말도 하지 않으려고 하시는군요.,기쁨
나이가 드니 몸도 아프고 저금을 별로 못해서 돈 쓰는 것도 조심스러워.,많이 불안하신거 같아요. 앞으로는 어떻게 하실건가요?,분노
아빠 사업에 문제가 생겼대. 어떡하지?,아버지의 사업에 문제가 생겼군요. 조금 더 자세히 이야기해 줄 수 있어요?,슬픔
우리 부부가 동네 노인들 중에 제일 불우해 보이니까 너무 우울한 감정이 들어.,동네에서 제일 불우하다는 생각 때문에 마음이 어려우시군요.,슬픔
옆집 벽 공사에도 큰 소리 안 내고 편안히 고치라고 해 주더라고.,편안하고 좋은 이웃을 만나 다행이네요.,기쁨
좀 인생을 계획 있게 살걸. 아 후회되고 화가 난다.,계획적이지 않게 살아서 후회된단 말씀이시죠. 대신 어떻게 했다면 좋았을까요?,기쁨
내 장애가 너무 짜증 나. 난 정말 왜 이 모양일까?,이런 생각이 드실 때마다 어떻게 해결하셨나요?,분노
나이가 들면서 건강이 나빠지지 않을까 우울해지네.,건강으로 걱정이 되시나 봐요.,슬픔
나도 친구처럼 누군가에게 조건 없이 도움을 주고 싶어.,사람들에게 도움을 줄 수 있는 방법들에는 어떤 게 있을까요?,기쁨
결혼하고 나서 삶이 너무 행복해.,결혼하고 나서 행복함을 느끼시는군요. 어떤 이유에서 행복하신 건가요?,기쁨
아니. 애들이 물 뿌려서 젖었는데 빨려고.,이런 적이 한두 번이 아닌가봐요?,슬픔
독립은커녕 아직 직장 문제조차 해결하지 못하고 있으니 정말 죽고 싶은 마음뿐이다.,사용자님의 무가치함을 비난하는 마음을 줄이고 희망을 품고 생활할 방법이 있을까요?,분노
무슨 노래를 불러야 할까?,혹시 친구가 좋아하는 노래 스타일을 알고 있나요?,기쁨
남자친구가 거의 삼 년간 나를 속여왔다는 것을 알게 되었어.,남자친구가 오랫동안 당신을 속여온 것을 알게 되었군요.,슬픔
지금은 다른 학교에 다니지만 어릴 때부터 친한 단짝을 만나서 위로받고 싶어.,단짝과의 만남으로 슬픈 마음이 나아지기를 바라요.,슬픔
